Page or Account URL,List,nces_id,agency_name,state,total_students
https:/www.facebook.com/pascoschools,100-largest-school-districts,1201530,PASCO,FLORIDA,75048
https:/www.facebook.com/davisschools,100-largest-school-districts,4900210,DAVIS DISTRICT,UTAH,74289
https:/www.facebook.com/brevardpublicschools,100-largest-school-districts,1200150,BREVARD,FLORIDA,73734
https:/www.facebook.com/gcschoolsnc,100-largest-school-districts,3701920,GUILFORD COUNTY SCHOOLS,NORTH CAROLINA,72950
https:/www.facebook.com/longbeachunifiedschooldistrict,100-largest-school-districts,622500,LONG BEACH UNIFIED,CALIFORNIA,72935
https:/www.facebook.com/fresnounifiedpage,100-largest-school-districts,614550,FRESNO UNIFIED,CALIFORNIA,71152
https:/www.facebook.com/vbschools,100-largest-school-districts,5103840,VA BEACH CITY PBLC SCHS,VIRGINIA,68624
https:/www.facebook.com/osceolaschoolsfl,100-largest-school-districts,1201470,OSCEOLA,FLORIDA,68554
https:/www.facebook.com/seminolecountyschools,100-largest-school-districts,1201710,SEMINOLE,FLORIDA,68269
https:/www.facebook.com/dcsdk12,100-largest-school-districts,803450,DOUGLAS COUNTY SCHOOL DISTRICT NO. RE 1,COLORADO,67591
https:/www.facebook.com/washoecountyschooldistrict,100-largest-school-districts,3200480,WASHOE COUNTY SCHOOL DISTRICT,NEVADA,67590
https:/www.facebook.com/aldineschooldistrict,100-largest-school-districts,4807710,ALDINE ISD,TEXAS,66854
https:/www.facebook.com/graniteschooldistrict,100-largest-school-districts,4900360,GRANITE DISTRICT,UTAH,66767
https:/www.facebook.com/northeastisd,100-largest-school-districts,4832940,NORTH EAST ISD,TEXAS,65186
https:/www.facebook.com/volusiacountyschools,100-largest-school-districts,1201920,VOLUSIA,FLORIDA,63223
https:/www.facebook.com/mpsaz,100-largest-school-districts,404970,MESA UNIFIED DISTRICT (4235),ARIZONA,63124
https:/www.facebook.com/elkgroveunified,100-largest-school-districts,612330,ELK GROVE UNIFIED,CALIFORNIA,63100
https:/www.facebook.com/cisdallmeansall,100-largest-school-districts,4815000,CONROE ISD,TEXAS,62837
https:/www.facebook.com/chesterfieldschools,100-largest-school-districts,5100840,CHESTERFIELD CO PBLC SCHS,VIRGINIA,61552
https:/www.facebook.com/knoxschools,100-largest-school-districts,4702220,KNOX COUNTY,TENNESSEE,60854
https:/www.facebook.com/friscoisd,100-largest-school-districts,4820010,FRISCO ISD,TEXAS,60182
https:/www.facebook.com/arlingtonisd,100-largest-school-districts,4808700,ARLINGTON ISD,TEXAS,59900
https:/www.facebook.com/hocoschools,100-largest-school-districts,2400420,HOWARD COUNTY PUBLIC SCHOOLS,MARYLAND,57907
https:/www.facebook.com/elpasoisd,100-largest-school-districts,4818300,EL PASO ISD,TEXAS,57315
https:/www.facebook.com/jordandistrict,100-largest-school-districts,4900420,JORDAN DISTRICT,UTAH,56176
https:/www.facebook.com/choosegarlandisd,100-largest-school-districts,4820340,GARLAND ISD,TEXAS,55987
https://www.facebook.com/ccsdk12,100-largest-school-districts,802910,CHERRY CREEK SCHOOL DISTRICT NO. 5 IN THE COUNTY OF ARAPAH,COLORADO,55839
https:/www.facebook.com/seattlepublicschools,100-largest-school-districts,5307710,SEATTLE PUBLIC SCHOOLS,WASHINGTON,55271
https:/www.facebook.com/ccpsnews,100-largest-school-districts,1301230,CLAYTON COUNTY,GEORGIA,54840
https:/www.facebook.com/wsfcsofficial,100-largest-school-districts,3701500,WINSTON SALEM / FORSYTH COUNTY SCHOOLS,NORTH CAROLINA,54707
https:/www.facebook.com/mobilecountypublicschools,100-largest-school-districts,102370,MOBILE COUNTY,ALABAMA,53967
https:/www.facebook.com/kleinisd,100-largest-school-districts,4825740,KLEIN ISD,TEXAS,53328
https:/www.facebook.com/pasadenaisd,100-largest-school-districts,4834320,PASADENA ISD,TEXAS,53291
